SPLC,lon,lat
499220,-80.920524,26.745708
499210,-80.934976,26.746942
499161,-80.659994,26.76362
499218,-80.96261,26.765336
499120,-80.055181,26.767608
499117,-80.063627,26.775205
499119,-80.064173,26.776522
498870,-80.985655,26.780385
499121,-80.115191,26.784362
689560,-97.775624,26.786774
498869,-81.010232,26.797705
498867,-81.025095,26.797707
498860,-80.990539,26.797748
499115,-80.073477,26.798865
498841,-81.050642,26.801485
498868,-81.068706,26.817729
498840,-81.091477,26.836705
499124,-80.642391,26.848991
499149,-80.286353,26.898784
499159,-80.61161,26.900014
499156,-80.308287,26.913415
689550,-97.792279,26.923866
498823,-81.31722,26.930782
498930,-82.044804,26.931898
499111,-80.093897,26.934255
499793,-80.489447,25.469105
498820,-81.31716,26.943632
498928,-81.99986,26.954101
496994,-80.607517,26.963727
689531,-97.795467,27.005449
496984,-80.489126,27.033795
496967,-80.127899,27.059022
498194,-81.357107,27.067175
498597,-81.952,27.088146
496993,-80.655055,27.143859
496926,-80.22253,27.167145
496924,-80.251167,27.195905
498168,-81.346894,27.207365
498540,-81.875657,27.217665
496917,-80.240717,27.22193
689510,-97.793321,27.222992
496913,-80.226907,27.242395
496680,-80.829957,27.251765
498539,-81.888627,27.257205
496805,-80.499713,27.278275
498630,-82.483787,27.284005
498164,-81.367917,27.297425
496894,-80.256748,27.298664
689480,-97.815664,27.298832
699610,-98.671582,27.305255
496836,-80.43285,27.337951
498610,-82.525612,27.343923
498147,-81.080342,27.357733
498284,-81.899427,27.366315
496864,-80.293856,27.374855
498486,-82.530317,27.409177
498487,-82.530281,27.417236
699169,-98.566163,27.420658
689450,-97.852132,27.423179
699362,-98.842946,27.424494
498488,-82.542545,27.427566
699366,-99.000392,27.440112
498482,-82.542485,27.443785
496840,-80.323995,27.444985
498133,-81.256477,27.445855
699368,-99.088592,27.448365
496806,-80.328302,27.458916
498215,-81.916794,27.465095
498464,-82.550163,27.476629
498264,-81.919684,27.481375
496834,-80.339762,27.489689
498120,-81.433427,27.493965
699387,-99.516226,27.498879
699380,-99.516235,27.500345
699379,-99.492875,27.505019
699395,-99.514597,27.509784
689430,-97.868432,27.512031
498449,-82.568956,27.519009
496824,-80.352917,27.521305
498451,-82.556272,27.524742
689428,-97.845204,27.54674
498434,-82.557967,27.548795
496814,-80.366141,27.552537
689293,-97.81682,27.571413
498433,-82.547104,27.579394
689290,-97.802963,27.583495
498248,-81.937882,27.584414
496794,-80.379309,27.586719
699155,-98.444014,27.590513
498113,-81.502891,27.590761
498227,-81.939741,27.594871
699157,-98.409774,27.598922
496780,-80.385165,27.609948
498226,-81.945119,27.625482
699357,-99.487238,27.634702
498418,-82.562655,27.635944
498497,-82.53869,27.636658
498413,-82.350508,27.639168
498417,-82.530941,27.641823
498213,-81.82197,27.642508
496720,-80.401072,27.650968
497686,-81.819321,27.659839
699378,-99.418306,27.666897
689260,-97.752044,27.668515
497704,-82.009955,27.669418
497798,-82.480763,27.678048
496767,-80.41184,27.682372
497696,-81.955916,27.68701
497504,-81.814573,27.690839
699373,-99.454265,27.700188
497795,-82.43502,27.710047
496763,-80.422915,27.718999
699371,-99.446434,27.725069
497691,-81.807594,27.725656
497690,-81.992259,27.729436
497593,-81.581534,27.733141
497586,-81.528427,27.742375
499787,-80.490187,25.528355
499768,-80.410423,25.62218
499734,-80.399231,25.634719
499746,-80.335889,25.705319
499745,-80.311322,25.745488
499616,-80.174078,25.775255
499738,-80.432557,25.782935
499731,-80.308166,25.7979
499600,-80.258547,25.805135
499733,-80.30954,25.832233
499706,-80.299377,25.840871
499723,-80.188712,25.846354
499726,-80.259918,25.856073
499727,-80.349382,25.868042
499732,-80.374208,25.870647
499715,-80.172327,25.887155
499640,-80.260517,25.890525
499736,-80.403037,25.898385
499717,-80.253059,25.899801
689880,-97.506693,25.903736
499714,-80.157409,25.916042
499620,-80.203604,25.932707
499713,-80.147927,25.946226
689879,-97.41244,25.95368
499493,-80.148187,25.985605
689874,-97.529804,25.998815
499470,-80.149557,26.026115
499460,-80.166411,26.068836
689872,-97.479144,26.073565
499457,-80.129949,26.082002
499453,-80.139996,26.083188
689868,-97.584785,26.086352
499440,-80.169795,26.119606
689867,-97.632649,26.132623
499439,-80.170186,26.137722
689999,-98.270935,26.149018
689971,-97.911945,26.1509
689838,-97.506765,26.157371
689972,-97.994564,26.160416
689849,-97.817673,26.161065
689973,-98.000183,26.16144
