Number of Locomotive,Locomotive Battery Capacity,Locomotive per charger,Charger Type,Electricity Rate,Total energy [MWh],Total Charger Needed,Total Charging Time per locomotive [hrs],Station Utilization,Capital cost [$/kWh],O&M less energy [$/kWh],Energy [$/kWh],Total charging cost [$/kWh],Charging station capital investment,Annual O&M cost (w/energy cost)
39,10000,4,"3000kW, Pantograph",US,390,10,3.5,0.5833,0.0244,0.009,0.1014,0.1348,16175124.36,13028884.99
39,10000,5,"3000kW, Pantograph",US,390,8,3.5,0.7292,0.0206,0.0075,0.1014,0.1295,13126464.57,12858050.71
39,10000,6,"3000kW, Pantograph",US,390,7,3.5,0.875,0.0177,0.0064,0.1014,0.1255,10806749.57,12735386.25
40,10000,1,"3000kW, Pantograph",US,400,40,3.5,0.1458,0.0844,0.0327,0.1014,0.2185,65611950.98,16052886.58
40,10000,2,"3000kW, Pantograph",US,400,20,3.5,0.2917,0.0443,0.0169,0.1014,0.1626,32840975.49,14254840.47
40,10000,3,"3000kW, Pantograph",US,400,14,3.5,0.4375,0.0309,0.0116,0.1014,0.144,21917316.99,13655491.77
40,10000,4,"3000kW, Pantograph",US,400,10,3.5,0.5833,0.0242,0.009,0.1014,0.1346,16455487.75,13355817.42
40,10000,5,"3000kW, Pantograph",US,400,8,3.5,0.7292,0.0204,0.0074,0.1014,0.1293,13350755.27,13181277.78
40,10000,6,"3000kW, Pantograph",US,400,7,3.5,0.875,0.0176,0.0063,0.1014,0.1253,10993658.5,13056143.07
41,10000,1,"3000kW, Pantograph",US,410,41,3.5,0.1458,0.0848,0.0328,0.1014,0.219,67595229.91,16461724.41
41,10000,2,"3000kW, Pantograph",US,410,21,3.5,0.2917,0.0445,0.0169,0.1014,0.1628,33832614.96,14613462.18
41,10000,3,"3000kW, Pantograph",US,410,14,3.5,0.4375,0.0312,0.0116,0.1014,0.1443,22722047.54,14001762.25
41,10000,4,"3000kW, Pantograph",US,410,11,3.5,0.5833,0.0246,0.009,0.1014,0.135,17166763.83,13695912.28
41,10000,5,"3000kW, Pantograph",US,410,9,3.5,0.7292,0.0203,0.0074,0.1014,0.1291,13575045.98,13504504.84
41,10000,6,"3000kW, Pantograph",US,410,7,3.5,0.875,0.0179,0.0064,0.1014,0.1258,11611480.12,13390062.31
42,10000,1,"3000kW, Pantograph",US,420,42,3.5,0.1458,0.0847,0.0327,0.1014,0.2188,69147596.15,16857399.82
42,10000,2,"3000kW, Pantograph",US,420,21,3.5,0.2917,0.0447,0.0169,0.1014,0.163,34824254.42,14972083.89
42,10000,3,"3000kW, Pantograph",US,420,14,3.5,0.4375,0.031,0.0116,0.1014,0.144,23095865.38,14334870.3
42,10000,4,"3000kW, Pantograph",US,420,11,3.5,0.5833,0.0244,0.009,0.1014,0.1348,17447127.21,14022844.71
42,10000,5,"3000kW, Pantograph",US,420,9,3.5,0.7292,0.0207,0.0074,0.1014,0.1295,14230249.39,13840894.33
42,10000,6,"3000kW, Pantograph",US,420,7,3.5,0.875,0.0178,0.0063,0.1014,0.1256,11798389.04,13710819.13
43,10000,1,"3000kW, Pantograph",US,430,43,3.5,0.1458,0.0846,0.0327,0.1014,0.2187,70699962.38,17253075.23
43,10000,2,"3000kW, Pantograph",US,430,22,3.5,0.2917,0.0444,0.0168,0.1014,0.1626,35384981.19,15317543.17
43,10000,3,"3000kW, Pantograph",US,430,15,3.5,0.4375,0.0313,0.0116,0.1014,0.1443,23900595.92,14681140.77
43,10000,4,"3000kW, Pantograph",US,430,11,3.5,0.5833,0.0243,0.0089,0.1014,0.1346,17727490.6,14349777.15
43,10000,5,"3000kW, Pantograph",US,430,9,3.5,0.7292,0.0205,0.0074,0.1014,0.1293,14454540.09,14164121.4
43,10000,6,"3000kW, Pantograph",US,430,8,3.5,0.875,0.0177,0.0063,0.1014,0.1255,11985297.96,14031575.95
44,10000,1,"3000kW, Pantograph",US,440,44,3.5,0.1458,0.0845,0.0326,0.1014,0.2185,72252328.62,17648750.63
44,10000,2,"3000kW, Pantograph",US,440,22,3.5,0.2917,0.0446,0.0168,0.1014,0.1628,36376620.66,15676164.88
44,10000,3,"3000kW, Pantograph",US,440,15,3.5,0.4375,0.0311,0.0116,0.1014,0.1441,24274413.77,15014248.82
44,10000,4,"3000kW, Pantograph",US,440,11,3.5,0.5833,0.0246,0.009,0.1014,0.135,18438766.68,14689872
44,10000,5,"3000kW, Pantograph",US,440,9,3.5,0.7292,0.0204,0.0073,0.1014,0.1292,14678830.8,14487348.46
44,10000,6,"3000kW, Pantograph",US,440,8,3.5,0.875,0.0176,0.0063,0.1014,0.1253,12172206.89,14352332.76
45,10000,1,"3000kW, Pantograph",US,450,45,3.5,0.1458,0.0844,0.0326,0.1014,0.2184,73804694.85,18044426.04
45,10000,2,"3000kW, Pantograph",US,450,23,3.5,0.2917,0.0443,0.0168,0.1014,0.1625,36937347.43,16021624.16
45,10000,3,"3000kW, Pantograph",US,450,15,3.5,0.4375,0.0309,0.0115,0.1014,0.1438,24648231.62,15347356.87
45,10000,4,"3000kW, Pantograph",US,450,12,3.5,0.5833,0.0244,0.0089,0.1014,0.1348,18719130.06,15016804.44
45,10000,5,"3000kW, Pantograph",US,450,9,3.5,0.7292,0.0203,0.0073,0.1014,0.129,14903121.51,14810575.52
45,10000,6,"3000kW, Pantograph",US,450,8,3.5,0.875,0.0175,0.0062,0.1014,0.1252,12359115.81,14673089.58
46,10000,1,"3000kW, Pantograph",US,460,46,3.5,0.1458,0.0847,0.0326,0.1014,0.2188,75787973.78,18453263.87
46,10000,2,"3000kW, Pantograph",US,460,23,3.5,0.2917,0.0445,0.0168,0.1014,0.1626,37928986.89,16380245.87
46,10000,3,"3000kW, Pantograph",US,460,16,3.5,0.4375,0.0312,0.0115,0.1014,0.1441,25452962.16,15693627.35
46,10000,4,"3000kW, Pantograph",US,460,12,3.5,0.5833,0.0243,0.0089,0.1014,0.1346,18999493.45,15343736.87
46,10000,5,"3000kW, Pantograph",US,460,10,3.5,0.7292,0.0206,0.0073,0.1014,0.1294,15558324.91,15146965.01
46,10000,6,"3000kW, Pantograph",US,460,8,3.5,0.875,0.0179,0.0063,0.1014,0.1256,12976937.43,15007008.82
47,10000,1,"3000kW, Pantograph",US,470,47,3.5,0.1458,0.0846,0.0326,0.1014,0.2187,77340340.02,18848939.27
47,10000,2,"3000kW, Pantograph",US,470,24,3.5,0.2917,0.0446,0.0168,0.1014,0.1628,38920626.36,16738867.58
47,10000,3,"3000kW, Pantograph",US,470,16,3.5,0.4375,0.031,0.0115,0.1014,0.1439,25826780.01,16026735.4
47,10000,4,"3000kW, Pantograph",US,470,12,3.5,0.5833,0.0246,0.0089,0.1014,0.1349,19710769.53,15683831.73
47,10000,5,"3000kW, Pantograph",US,470,10,3.5,0.7292,0.0205,0.0073,0.1014,0.1292,15782615.62,15470192.08
47,10000,6,"3000kW, Pantograph",US,470,8,3.5,0.875,0.0178,0.0062,0.1014,0.1254,13163846.35,15327765.64
48,10000,1,"3000kW, Pantograph",US,480,48,3.5,0.1458,0.0846,0.0326,0.1014,0.2185,78892706.25,19244614.68
48,10000,2,"3000kW, Pantograph",US,480,24,3.5,0.2917,0.0444,0.0167,0.1014,0.1625,39481353.13,17084326.86
48,10000,3,"3000kW, Pantograph",US,480,16,3.5,0.4375,0.0312,0.0115,0.1014,0.1442,26631510.55,16373005.87
48,10000,4,"3000kW, Pantograph",US,480,12,3.5,0.5833,0.0245,0.0089,0.1014,0.1347,19991132.91,16010764.17
48,10000,5,"3000kW, Pantograph",US,480,10,3.5,0.7292,0.0204,0.0073,0.1014,0.1291,16006906.33,15793419.14
48,10000,6,"3000kW, Pantograph",US,480,8,3.5,0.875,0.0177,0.0062,0.1014,0.1253,13350755.27,15648522.46
49,10000,1,"3000kW, Pantograph",US,490,49,3.5,0.1458,0.0845,0.0325,0.1014,0.2184,80445072.49,19640290.09
49,10000,2,"3000kW, Pantograph",US,490,25,3.5,0.2917,0.0445,0.0167,0.1014,0.1627,40472992.59,17442948.57
49,10000,3,"3000kW, Pantograph",US,490,17,3.5,0.4375,0.0311,0.0114,0.1014,0.1439,27005328.4,16706113.92
