Origin-Destination SPLC,Commodity Group Name,Time Window (SmmddccyyEmmddccyy),Tons
'511140875819,AG_FOOD,S05012019E05312019,4000
'534960566900,AG_FOOD,S04012019E04302019,12200
'586850504428,NONMET_PRO,S03012019E03312019,14256
'381299876155,CHEM_PET,S02012019E02282019,9920
'668100880270,CHEM_PET,S06012019E06302019,3360
'647000439900,CHEM_PET,S08012019E08312019,3240
'883000380000,AG_FOOD,S09012019E09302019,1800
'731183584130,COAL,S08012019E08312019,31376
'558130774900,CHEM_PET,S06012019E06302019,15360
'543640380000,CHEM_PET,S12012019E12312019,27873
'831438380000,FOR_PROD,S06012019E06302019,14480
'584092846203,IM,S11012019E11302019,480
'333332381441,AG_FOOD,S11012019E11302019,3880
'846570683595,FOR_PROD,S09012019E09302019,3960
'519117708569,CHEM_PET,S07012019E07312019,3800
'744300774900,AG_FOOD,S12012019E12312019,4280
'846203504450,IM,S09012019E09302019,4680
'684800883735,IM,S07012019E07312019,7960
'384850677200,NONMET_PRO,S05012019E05312019,4600
'380000748537,MET_ORE,S02012019E02282019,3680
'657777554643,AG_FOOD,S08012019E08312019,3240
'325580325742,CHEM_PET,S09012019E09302019,11040
'855632384869,FOR_PROD,S09012019E09302019,3720
'534576538460,OTHER,S12012019E12312019,1600
'672328647000,AG_FOOD,S09012019E09302019,3600
'883209384020,IM,S04012019E04302019,16320
'846203384020,IM,S06012019E06302019,6600
'883000380000,IM,S10012019E10312019,163840
'380000853471,MO_VEH,S09012019E09302019,1600
'380000883683,CHEM_PET,S12012019E12312019,2760
'708569518444,CHEM_PET,S01012019E01312019,6456
'668200388260,OTHER,S10012019E10312019,480
'533820058248,CHEM_PET,S11012019E11302019,19360
'646123647000,CHEM_PET,S09012019E09302019,10920
'744189756476,CHEM_PET,S08012019E08312019,39324
'517130380000,AG_FOOD,S02012019E02282019,42440
'381299880270,FOR_PROD,S04012019E04302019,440
'845200793175,MET_ORE,S02012019E02282019,4040
'889593566900,MO_VEH,S06012019E06302019,4800
'547500047600,AG_FOOD,S12012019E12312019,3408
'883737584092,CHEM_PET,S09012019E09302019,2480
'321869325562,FOR_PROD,S08012019E08312019,9000
'588440684300,AG_FOOD,S04012019E04302019,37694
'504450845203,IM,S09012019E09302019,4520
'686152777550,CHEM_PET,S07012019E07312019,3756
'734167627854,OTHER,S12012019E12312019,1480
'546283380000,CHEM_PET,S01012019E01312019,15320
'645168384182,CHEM_PET,S01012019E01312019,3640
'521424853474,AG_FOOD,S09012019E09302019,17424
'553900668141,AG_FOOD,S10012019E10312019,4120
'517152845210,AG_FOOD,S03012019E03312019,23872
'687478748537,MET_ORE,S06012019E06302019,11224
'395140487230,CHEM_PET,S08012019E08312019,3960
'684800797000,CHEM_PET,S05012019E05312019,3600
'717131703383,CHEM_PET,S05012019E05312019,4480
'647000323130,CHEM_PET,S03012019E03312019,3400
'777550844391,CHEM_PET,S12012019E12312019,3540
'513757704147,CHEM_PET,S10012019E10312019,5508
'706720761560,CHEM_PET,S07012019E07312019,8788
'513758840600,CHEM_PET,S05012019E05312019,3552
'831438380000,FOR_PROD,S01012019E01312019,14520
'875640880270,IM,S10012019E10312019,480
'842659853470,AG_FOOD,S02012019E02282019,7840
'093768853470,CHEM_PET,S09012019E09302019,37440
'621644875640,CHEM_PET,S07012019E07312019,3920
'381299584092,CHEM_PET,S05012019E05312019,4560
'698350672322,OTHER,S06012019E06302019,3680
'384850688260,NONMET_PRO,S02012019E02282019,4600
'684119581520,FOR_PROD,S11012019E11302019,2640
'708550840576,CHEM_PET,S10012019E10312019,3920
'718552883010,AG_FOOD,S10012019E10312019,3984
'456200883734,IM,S03012019E03312019,1920
'876185684800,CHEM_PET,S11012019E11302019,3480
'875850439900,AG_FOOD,S03012019E03312019,9120
'382880729177,NONMET_PRO,S05012019E05312019,22407
'550036881237,CHEM_PET,S02012019E02282019,3800
'537933551324,CHEM_PET,S07012019E07312019,4360
'566900797152,MO_VEH,S11012019E11302019,6680
'830363683595,FOR_PROD,S08012019E08312019,3480
'327877058248,NONMET_PRO,S12012019E12312019,106125
'883734380000,IM,S03012019E03312019,23240
'731154323130,COAL,S08012019E08312019,58670
'299210380000,CHEM_PET,S08012019E08312019,3640
'472600708569,MO_VEH,S03012019E03312019,3000
'500900511168,NONMET_PRO,S03012019E03312019,29652
'439900677850,OTHER,S09012019E09302019,1480
'744300703323,OTHER,S04012019E04302019,1200
'883000384020,AG_FOOD,S10012019E10312019,2520
'380000744300,CHEM_PET,S11012019E11302019,17880
'875640381299,IM,S09012019E09302019,320
'381441318381,MO_VEH,S01012019E01312019,1040
'384020846203,AG_FOOD,S02012019E02282019,10280
'439875047600,IM,S02012019E02282019,2560
'303961380000,FOR_PROD,S12012019E12312019,7320
'396640324740,CHEM_PET,S06012019E06302019,3520
'326435380670,FOR_PROD,S05012019E05312019,3880
'388260674278,AG_FOOD,S10012019E10312019,7200
'333650504450,NONMET_PRO,S01012019E01312019,57910
'876185746422,MO_VEH,S07012019E07312019,1600
'883683881525,CHEM_PET,S04012019E04302019,2840
'502190504600,FOR_PROD,S02012019E02282019,3840
'883000567500,CHEM_PET,S03012019E03312019,1600
'684800883734,IM,S12012019E12312019,1560
'380000504593,CHEM_PET,S03012019E03312019,2720
'672700698350,AG_FOOD,S10012019E10312019,3400
'629153698350,CHEM_PET,S03012019E03312019,7600
'777550566900,CHEM_PET,S02012019E02282019,3528
'538428883656,AG_FOOD,S02012019E02282019,12760
'381299774900,IM,S10012019E10312019,2720
'846209553200,IM,S04012019E04302019,600
'744300380000,IM,S07012019E07312019,22360
'584092381299,IM,S07012019E07312019,1120
'551440612200,CHEM_PET,S07012019E07312019,3760
'380000504600,IM,S09012019E09302019,3720
'395278392200,AG_FOOD,S11012019E11302019,22196
'380000889593,MO_VEH,S02012019E02282019,4040
'668200621690,CHEM_PET,S12012019E12312019,12040
'684150734150,CHEM_PET,S08012019E08312019,3960
'380000047600,CHEM_PET,S01012019E01312019,11080
'731122598193,COAL,S01012019E01312019,29140
'439875047600,MET_ORE,S07012019E07312019,680
'845203584092,IM,S02012019E02282019,480
'604163668200,MET_ORE,S03012019E03312019,3720
'380002047600,MET_ORE,S07012019E07312019,1320
'550036876492,CHEM_PET,S07012019E07312019,3800
'853470668100,AG_FOOD,S05012019E05312019,1680
'645168644800,CHEM_PET,S08012019E08312019,4000
'684773588250,CHEM_PET,S02012019E02282019,3600
'438243486930,CHEM_PET,S02012019E02282019,7600
'744300380000,IM,S10012019E10312019,30520
'533340380000,AG_FOOD,S01012019E01312019,13320
'846200384020,MO_VEH,S06012019E06302019,12320
'380000384188,CHEM_PET,S06012019E06302019,3800
'547500887106,AG_FOOD,S01012019E01312019,11240
'684800380000,CHEM_PET,S06012019E06302019,12880
'645364501411,CHEM_PET,S04012019E04302019,3880
'329142047600,CHEM_PET,S03012019E03312019,11400
'703383849687,AG_FOOD,S03012019E03312019,51044
'384020553200,IM,S03012019E03312019,480
'880270380000,IM,S02012019E02282019,184120
'672353696900,CHEM_PET,S07012019E07312019,15800
'847890847198,CHEM_PET,S05012019E05312019,3432
'704150797163,CHEM_PET,S01012019E01312019,2560
'500900500756,NONMET_PRO,S11012019E11302019,37840
'506670396640,AG_FOOD,S12012019E12312019,24930
'665450396640,CHEM_PET,S07012019E07312019,7400
'588440743850,AG_FOOD,S06012019E06302019,3840
'380000386213,CHEM_PET,S06012019E06302019,2760
'518444672322,CHEM_PET,S01012019E01312019,3720
'733111728145,NONMET_PRO,S08012019E08312019,6000
'881525876129,CHEM_PET,S09012019E09302019,2616
'889000686212,MO_VEH,S06012019E06302019,3760
'566900553200,AG_FOOD,S12012019E12312019,4320
'658320553200,FOR_PROD,S03012019E03312019,2840
'881525844397,CHEM_PET,S02012019E02282019,2652
'380000384824,OTHER,S02012019E02282019,1080
'776540865514,NONMET_PRO,S12012019E12312019,4040
'566900774900,MO_VEH,S04012019E04302019,2880
'762793681697,CHEM_PET,S09012019E09302019,3560
'380000875640,CHEM_PET,S01012019E01312019,6600
'380000684447,CHEM_PET,S06012019E06302019,3520
'684775503589,CHEM_PET,S09012019E09302019,8688
'504450845203,IM,S07012019E07312019,6160
'853470093768,OTHER,S11012019E11302019,1320
'584092797000,IM,S04012019E04302019,1760
'698350396640,OTHER,S10012019E10312019,1320
'634677667595,NONMET_PRO,S02012019E02282019,14136
'534580566330,OTHER,S10012019E10312019,1520
'384020883737,CHEM_PET,S06012019E06302019,440
'677200883715,AG_FOOD,S03012019E03312019,880
'504397380000,OTHER,S06012019E06302019,3920
'396292566900,MET_ORE,S08012019E08312019,3360
'732138684800,NONMET_PRO,S08012019E08312019,7840
'380000553900,CHEM_PET,S05012019E05312019,3760
'380002058248,CHEM_PET,S11012019E11302019,2480
'396292324773,CHEM_PET,S03012019E03312019,3960
'384020883213,AG_FOOD,S11012019E11302019,7200
'748537549863,OTHER,S10012019E10312019,9568
'732138500751,NONMET_PRO,S08012019E08312019,3880
'581520853470,MO_VEH,S06012019E06302019,920
'684800875640,IM,S03012019E03312019,2760
'689100889593,MO_VEH,S07012019E07312019,920
'684447647000,CHEM_PET,S12012019E12312019,3240
'731150439900,COAL,S03012019E03312019,318954
'883252584092,IM,S09012019E09302019,11560
'686279684735,CHEM_PET,S08012019E08312019,7560
'880293684800,MET_ORE,S11012019E11302019,3440
'842117849687,AG_FOOD,S10012019E10312019,48556
'732114574170,NONMET_PRO,S09012019E09302019,15760
'731136566545,COAL,S11012019E11302019,95906
'387122489768,AG_FOOD,S07012019E07312019,9900
'080116774900,FOR_PROD,S01012019E01312019,3840
'774900380000,CHEM_PET,S06012019E06302019,1600
'514138504600,AG_FOOD,S12012019E12312019,20280
'686279380000,CHEM_PET,S12012019E12312019,3800
'684640629660,CHEM_PET,S03012019E03312019,2800
'668100883732,MET_ORE,S02012019E02282019,3360
'875640684800,CHEM_PET,S03012019E03312019,1680
'696900880293,NONMET_PRO,S02012019E02282019,4480
'876155883000,IM,S10012019E10312019,2240
'472600846178,MET_ORE,S07012019E07312019,4040
'658320647000,CHEM_PET,S01012019E01312019,6920
'731143658676,COAL,S01012019E01312019,29162
'567500883737,IM,S12012019E12312019,320
'604163729177,MET_ORE,S12012019E12312019,4120
'380000883737,IM,S10012019E10312019,6600
'323130517130,NONMET_PRO,S02012019E02282019,6540
'731136566545,COAL,S04012019E04302019,65488
'621644677168,CHEM_PET,S04012019E04302019,7840
'731136728145,COAL,S04012019E04302019,60872
'380000880181,CHEM_PET,S11012019E11302019,1000
'534450684790,CHEM_PET,S04012019E04302019,2600
'684800883737,IM,S02012019E02282019,1640
'846209504450,IM,S07012019E07312019,7560
'487845488870,FOR_PROD,S02012019E02282019,4440
'380002439875,AG_FOOD,S06012019E06302019,1600
'380002058248,AG_FOOD,S08012019E08312019,9520
'790151876134,CHEM_PET,S01012019E01312019,2800
'587755439900,OTHER,S01012019E01312019,1120
'380000504450,CHEM_PET,S06012019E06302019,17600
'504450534464,MET_ORE,S03012019E03312019,3840
'584092876411,IM,S11012019E11302019,1440
'384130504600,CHEM_PET,S06012019E06302019,3720
'744300741680,CHEM_PET,S11012019E11302019,7880
'343689875640,IM,S02012019E02282019,800
'063550696900,AG_FOOD,S08012019E08312019,2940
'380000534574,MET_ORE,S07012019E07312019,3920
'849990380000,FOR_PROD,S11012019E11302019,3840
'731136604163,COAL,S03012019E03312019,32366
'731183299216,COAL,S06012019E06302019,126334
'315700380000,MO_VEH,S06012019E06302019,11200
'439900883734,IM,S01012019E01312019,6120
'621644558347,CHEM_PET,S04012019E04302019,3960
'439900604483,AG_FOOD,S11012019E11302019,1760
'587755439900,OTHER,S04012019E04302019,1480
'544688392200,CHEM_PET,S05012019E05312019,3720
'742337744189,CHEM_PET,S03012019E03312019,5600
'547500381441,AG_FOOD,S08012019E08312019,4240
'093314090361,CHEM_PET,S03012019E03312019,34400
'503260849687,AG_FOOD,S08012019E08312019,25768
'380000883737,IM,S06012019E06302019,4080
'380000049810,AG_FOOD,S04012019E04302019,4360
'708569671983,CHEM_PET,S09012019E09302019,3520
'690360677200,NONMET_PRO,S05012019E05312019,32025
'731154439900,COAL,S10012019E10312019,31720
'524490682898,AG_FOOD,S11012019E11302019,2040
'553900696900,AG_FOOD,S04012019E04302019,24528
'849990853470,CHEM_PET,S09012019E09302019,3880
'684775696900,CHEM_PET,S12012019E12312019,12960
'684773380000,CHEM_PET,S08012019E08312019,8040
'731136567213,COAL,S09012019E09302019,32162
'389970584088,NONMET_PRO,S11012019E11302019,4320
'485730325562,CHEM_PET,S02012019E02282019,3960
'598180566900,OTHER,S10012019E10312019,1520
'853470846209,IM,S09012019E09302019,5600
'080116731146,CHEM_PET,S07012019E07312019,3960
'584092883252,AG_FOOD,S06012019E06302019,880
'500900380000,AG_FOOD,S12012019E12312019,9480
'503136503913,CHEM_PET,S11012019E11302019,3920
'328161058248,CHEM_PET,S11012019E11302019,8240
'522530849687,AG_FOOD,S10012019E10312019,99140
'684800883732,CHEM_PET,S06012019E06302019,2120
'589120576550,NONMET_PRO,S07012019E07312019,4848
'647000686212,CHEM_PET,S02012019E02282019,3920
'336000380000,AG_FOOD,S08012019E08312019,6320
